lat	lon	title	description	icon	iconsize	iconoffset
Latitude	Longitude	Pub Name	Not Visited	no_visit.png	24,24	0,0
52.0869051	-0.264905	The Crown Hotel	Not Visited	no_visit.png	24,24	0,0
51.889702	-0.521186	The Gary Cooper	Not Visited	no_visit.png	24,24	0,0
52.136021	-0.471718	The Pilgrim’s Progress	Not Visited	no_visit.png	24,24	0,0
51.915843	-0.663266	The Swan Hotel	Not Visited	no_visit.png	24,24	0,0
51.881703	-0.418472	The White House	Not Visited	no_visit.png	24,24	0,0
51.454830	-0.963423	The Back of Beyond	Not Visited	no_visit.png	24,24	0,0
51.468066	-0.972559	The Baron Cadogan	Not Visited	no_visit.png	24,24	0,0
51.523039	-0.717843	The Bear	Not Visited	no_visit.png	24,24	0,0
51.400916	-1.322141	The Hatchet Inn	Not Visited	no_visit.png	24,24	0,0
51.456540	-0.975386	The Hope Tap	Not Visited	no_visit.png	24,24	0,0
51.483657	-0.608679	The King and Castle	Not Visited	no_visit.png	24,24	0,0
51.509569	-0.595761	The Moon and Spoon	Not Visited	no_visit.png	24,24	0,0
51.416569	-0.745366	The Old Manor	Not Visited	no_visit.png	24,24	0,0
51.480407	-0.610499	The Windlesora	Not Visited	no_visit.png	24,24	0,0
51.459274	-2.555084	St Georges Hall	Not Visited	no_visit.png	24,24	0,0
51.455866	-2.605208	The Berkeley	Not Visited	no_visit.png	24,24	0,0
51.454454	-2.594428	The Commercial Rooms	Not Visited	no_visit.png	24,24	0,0
51.449194	-2.517164	The Jolly Sailor	Not Visited	no_visit.png	24,24	0,0
51.462386	-2.506893	The Kingswood Colliers	Not Visited	no_visit.png	24,24	0,0
51.450828	-2.582064	The Knights Templar	Not Visited	no_visit.png	24,24	0,0
51.441129	-2.600943	The Robert Fitzharding	Not Visited	no_visit.png	24,24	0,0
51.481194	-2.510118	The Staple Hill Oak	Not Visited	no_visit.png	24,24	0,0
51.479661	-2.530289	The Van Dyck Forum	Not Visited	no_visit.png	24,24	0,0
51.462859	-2.608749	The W. G. Grace	Not Visited	no_visit.png	24,24	0,0
51.449838	-2.598749	V-Shed	Not Visited	no_visit.png	24,24	0,0
51.9955595	-0.7286014	Captain Ridley’s Shooting Party	Not Visited	no_visit.png	24,24	0,0
51.815485	-0.812398	The Bell	Not Visited	no_visit.png	24,24	0,0
51.629327	-0.751336	The Falcon	Not Visited	no_visit.png	24,24	0,0
51.587677	-0.627520	The Hope & Champion	Not Visited	no_visit.png	24,24	0,0
